character,state,probability
c0,10,0.345301
c0,11,0.158395
c0,12,0.038015
c0,13,0.244984
c0,14,0.221753
c0,15,0.008448
c0,16,0.001056
c0,17,0.001056
c0,18,0.011616
c0,19,0.087645
c0,2,0.643083
c0,20,0.001056
c0,21,0.279831
c0,22,0.344245
c0,23,0.074974
c0,24,0.029567
c0,25,0.033791
c0,26,0.001056
c0,3,0.568110
c0,4,0.014784
c0,5,0.147835
c0,6,0.335797
c0,7,0.447730
c0,8,0.001056
c0,9,0.006336
c1,10,0.158395
c1,11,0.005280
c1,12,0.057022
c1,13,0.102429
c1,14,0.053854
c1,15,0.023231
c1,16,0.008448
c1,17,0.029567
c1,18,0.001056
c1,19,0.277719
c1,2,0.299894
c1,20,0.001056
c1,21,0.001056
c1,22,0.344245
c1,23,0.001056
c1,24,0.176346
c1,3,0.001056
c1,4,0.143611
c1,5,0.010560
c1,6,0.383316
c1,7,0.043295
c1,8,0.298838
c1,9,0.006336
c2,10,0.198522
c2,11,0.298838
c2,12,0.002112
c2,13,0.119324
c2,14,0.116156
c2,15,0.158395
c2,16,0.032735
c2,17,0.055966
c2,18,0.299894
c2,19,0.095037
c2,2,0.435058
c2,20,0.275607
c2,21,0.232313
c2,22,0.001056
c2,23,0.344245
c2,24,0.237592
c2,25,0.021119
c2,26,0.054910
c2,27,0.322070
c2,28,0.168955
c2,29,0.008448
c2,3,0.727561
c2,30,0.004224
c2,31,0.129884
c2,32,0.002112
c2,33,0.007392
c2,34,0.017951
c2,35,0.020063
c2,36,0.001056
c2,37,0.178458
c2,38,0.220697
c2,39,0.218585
c2,4,0.001056
c2,40,0.183738
c2,41,0.072862
c2,42,0.149947
c2,43,0.074974
c2,44,0.168955
c2,45,0.006336
c2,46,0.022175
c2,47,0.002112
c2,48,0.001056
c2,49,0.030623
c2,5,0.398099
c2,50,0.059134
c2,51,0.012672
c2,52,0.001056
c2,53,0.104541
c2,54,0.002112
c2,55,0.077086
c2,56,0.005280
c2,57,0.001056
c2,58,0.077086
c2,59,0.080253
c2,6,0.001056
c2,60,0.058078
c2,61,0.022175
c2,62,0.001056
c2,63,0.085533
c2,64,0.009504
c2,65,0.161563
c2,66,0.002112
c2,67,0.033791
c2,68,0.034847
c2,69,0.162619
c2,7,0.373812
c2,70,0.027455
c2,71,0.001056
c2,72,0.022175
c2,73,0.001056
c2,74,0.001056
c2,75,0.003168
c2,76,0.095037
c2,77,0.003168
c2,78,0.059134
c2,79,0.002112
c2,8,0.001056
c2,80,0.031679
c2,81,0.097149
c2,82,0.001056
c2,9,0.368532
c3,10,0.335797
c3,11,0.643083
c3,12,0.244984
c3,13,0.447730
c3,14,0.279831
c3,15,0.002112
c3,16,0.007392
c3,17,0.012672
c3,18,0.345301
c3,19,0.013728
c3,2,0.327350
c3,20,0.004224
c3,21,0.010560
c3,22,0.004224
c3,23,0.119324
c3,24,0.061246
c3,25,0.016895
c3,26,0.010560
c3,27,0.082365
c3,28,0.344245
c3,29,0.068638
c3,3,0.162619
c3,30,0.033791
c3,31,0.003168
c3,32,0.001056
c3,33,0.004224
c3,34,0.001056
c3,35,0.009504
c3,36,0.158395
c3,37,0.029567
c3,38,0.007392
c3,39,0.003168
c3,4,0.568110
c3,40,0.005280
c3,41,0.001056
c3,5,0.221753
c3,6,0.001056
c3,7,0.001056
c3,8,0.001056
c3,9,0.002112
c4,10,0.383316
c4,11,0.086589
c4,12,0.277719
c4,13,0.252376
c4,14,0.007392
c4,15,0.004224
c4,16,0.192186
c4,17,0.001056
c4,18,0.344245
c4,19,0.084477
c4,2,0.327350
c4,20,0.001056
c4,21,0.158395
c4,22,0.007392
c4,23,0.003168
c4,24,0.001056
c4,25,0.001056
c4,26,0.001056
c4,3,0.162619
c4,4,0.001056
c4,5,0.229145
c4,6,0.001056
c4,7,0.298838
c4,8,0.001056
c4,9,0.025343
c5,10,0.010560
c5,11,0.001056
c5,12,0.095037
c5,13,0.001056
c5,14,0.055966
c5,15,0.077086
c5,16,0.001056
c5,17,0.373812
c5,18,0.002112
c5,19,0.220697
c5,2,0.322070
c5,20,0.178458
c5,21,0.006336
c5,22,0.183738
c5,23,0.168955
c5,24,0.002112
c5,25,0.032735
c5,26,0.237592
c5,27,0.025343
c5,28,0.059134
c5,29,0.074974
c5,3,0.398099
c5,30,0.001056
c5,31,0.024287
c5,32,0.027455
c5,33,0.001056
c5,34,0.218585
c5,35,0.060190
c5,36,0.344245
c5,37,0.021119
c5,38,0.168955
c5,39,0.001056
c5,4,0.299894
c5,40,0.129884
c5,41,0.232313
c5,42,0.002112
c5,43,0.198522
c5,44,0.275607
c5,45,0.009504
c5,46,0.001056
c5,47,0.001056
c5,48,0.001056
c5,49,0.077086
c5,5,0.368532
c5,50,0.025343
c5,51,0.001056
c5,52,0.036959
c5,53,0.158395
c5,54,0.007392
c5,55,0.003168
c5,56,0.001056
c5,57,0.008448
c5,58,0.116156
c5,6,0.435058
c5,7,0.727561
c5,8,0.298838
c5,9,0.031679
c6,10,0.007392
c6,11,0.068638
c6,12,0.327350
c6,13,0.344245
c6,14,0.098205
c6,15,0.004224
c6,16,0.007392
c6,17,0.001056
c6,18,0.010560
c6,19,0.002112
c6,2,0.345301
c6,20,0.001056
c6,21,0.001056
c6,22,0.158395
c6,23,0.001056
c6,24,0.011616
c6,25,0.003168
c6,26,0.055966
c6,27,0.221753
c6,28,0.082365
c6,29,0.001056
c6,3,0.335797
c6,30,0.001056
c6,31,0.087645
c6,32,0.001056
c6,33,0.025343
c6,34,0.047518
c6,35,0.001056
c6,36,0.027455
c6,37,0.001056
c6,38,0.119324
c6,4,0.643083
c6,5,0.279831
c6,6,0.568110
c6,7,0.447730
c6,8,0.244984
c6,9,0.001056
c7,10,0.001056
c7,11,0.001056
c7,12,0.002112
c7,13,0.327350
c7,14,0.048574
c7,15,0.001056
c7,16,0.344245
c7,17,0.192186
c7,18,0.013728
c7,19,0.299894
c7,2,0.003168
c7,20,0.001056
c7,21,0.001056
c7,22,0.002112
c7,23,0.001056
c7,24,0.158395
c7,25,0.001056
c7,3,0.298838
c7,4,0.252376
c7,5,0.086589
c7,6,0.277719
c7,7,0.176346
c7,8,0.039071
c7,9,0.015839
c8,10,0.030623
c8,11,0.119324
c8,12,0.344245
c8,13,0.057022
c8,14,0.001056
c8,15,0.178458
c8,16,0.198522
c8,17,0.058078
c8,18,0.398099
c8,19,0.001056
c8,2,0.727561
c8,20,0.435058
c8,21,0.104541
c8,22,0.001056
c8,23,0.002112
c8,24,0.001056
c8,25,0.001056
c8,26,0.008448
c8,27,0.161563
c8,28,0.158395
c8,29,0.232313
c8,3,0.298838
c8,30,0.033791
c8,31,0.168955
c8,32,0.299894
c8,33,0.072862
c8,34,0.183738
c8,35,0.116156
c8,36,0.015839
c8,37,0.077086
c8,38,0.004224
c8,39,0.168955
c8,4,0.368532
c8,40,0.017951
c8,41,0.218585
c8,42,0.002112
c8,43,0.055966
c8,44,0.054910
c8,45,0.149947
c8,46,0.001056
c8,47,0.012672
c8,48,0.053854
c8,49,0.237592
c8,5,0.004224
c8,6,0.373812
c8,7,0.001056
c8,8,0.005280
c8,9,0.002112
c9,10,0.345301
c9,11,0.001056
c9,12,0.010560
c9,13,0.279831
c9,14,0.335797
c9,15,0.004224
c9,16,0.005280
c9,17,0.025343
c9,18,0.158395
c9,19,0.001056
c9,2,0.244984
c9,20,0.003168
c9,3,0.447730
c9,4,0.002112
c9,5,0.327350
c9,6,0.643083
c9,7,0.162619
c9,8,0.568110
c9,9,0.147835
c10,10,0.084477
c10,11,0.001056
c10,12,0.298838
c10,13,0.003168
c10,14,0.001056
c10,15,0.050686
c10,16,0.001056
c10,17,0.014784
c10,18,0.081309
c10,19,0.344245
c10,2,0.008448
c10,20,0.016895
c10,21,0.158395
c10,22,0.001056
c10,23,0.020063
c10,3,0.029567
c10,4,0.299894
c10,5,0.002112
c10,6,0.327350
c10,7,0.162619
c10,8,0.383316
c10,9,0.143611
c11,10,0.001056
c11,11,0.129884
c11,12,0.010560
c11,13,0.275607
c11,14,0.023231
c11,15,0.373812
c11,16,0.298838
c11,17,0.299894
c11,18,0.001056
c11,19,0.055966
c11,2,0.727561
c11,20,0.001056
c11,21,0.198522
c11,22,0.002112
c11,23,0.024287
c11,24,0.095037
c11,25,0.435058
c11,26,0.095037
c11,27,0.368532
c11,28,0.003168
c11,29,0.054910
c11,3,0.097149
c11,30,0.002112
c11,31,0.058078
c11,32,0.058078
c11,33,0.398099
c11,34,0.006336
c11,35,0.168955
c11,36,0.344245
c11,37,0.220697
c11,38,0.085533
c11,39,0.017951
c11,4,0.218585
c11,40,0.001056
c11,41,0.030623
c11,42,0.149947
c11,43,0.001056
c11,44,0.161563
c11,45,0.059134
c11,46,0.026399
c11,47,0.025343
c11,48,0.010560
c11,49,0.053854
c11,5,0.322070
c11,50,0.010560
c11,51,0.237592
c11,52,0.002112
c11,53,0.019007
c11,54,0.002112
c11,55,0.128828
c11,56,0.011616
c11,57,0.060190
c11,58,0.002112
c11,59,0.072862
c11,6,0.004224
c11,60,0.017951
c11,61,0.168955
c11,62,0.005280
c11,63,0.001056
c11,64,0.158395
c11,65,0.002112
c11,66,0.080253
c11,67,0.012672
c11,68,0.001056
c11,7,0.178458
c11,8,0.232313
c11,9,0.183738
c12,10,0.005280
c12,11,0.643083
c12,12,0.345301
c12,13,0.221753
c12,14,0.011616
c12,15,0.005280
c12,16,0.001056
c12,17,0.004224
c12,18,0.007392
c12,19,0.279831
c12,2,0.006336
c12,20,0.001056
c12,21,0.033791
c12,22,0.011616
c12,23,0.001056
c12,24,0.021119
c12,25,0.001056
c12,26,0.068638
c12,27,0.244984
c12,28,0.074974
c12,29,0.026399
c12,3,0.327350
c12,30,0.001056
c12,31,0.335797
c12,32,0.034847
c12,33,0.002112
c12,34,0.001056
c12,35,0.002112
c12,36,0.003168
c12,37,0.001056
c12,38,0.048574
c12,39,0.012672
c12,4,0.014784
c12,40,0.098205
c12,41,0.024287
c12,42,0.002112
c12,5,0.447730
c12,6,0.344245
c12,7,0.158395
c12,8,0.005280
c12,9,0.568110
c13,10,0.002112
c13,11,0.001056
c13,12,0.252376
c13,13,0.086589
c13,14,0.003168
c13,15,0.007392
c13,16,0.192186
c13,17,0.001056
c13,18,0.057022
c13,19,0.004224
c13,2,0.229145
c13,20,0.028511
c13,21,0.002112
c13,22,0.143611
c13,23,0.005280
c13,24,0.020063
c13,25,0.001056
c13,26,0.002112
c13,27,0.003168
c13,28,0.001056
c13,29,0.277719
c13,3,0.327350
c13,30,0.002112
c13,4,0.086589
c13,5,0.383316
c13,6,0.344245
c13,7,0.158395
c13,8,0.005280
c13,9,0.078141
c14,10,0.058078
c14,11,0.299894
c14,12,0.006336
c14,13,0.004224
c14,14,0.435058
c14,15,0.006336
c14,16,0.232313
c14,17,0.007392
c14,18,0.001056
c14,19,0.275607
c14,2,0.727561
c14,20,0.001056
c14,21,0.398099
c14,22,0.373812
c14,23,0.026399
c14,24,0.058078
c14,25,0.161563
c14,26,0.025343
c14,27,0.368532
c14,28,0.007392
c14,29,0.001056
c14,3,0.024287
c14,30,0.237592
c14,31,0.053854
c14,32,0.070750
c14,33,0.178458
c14,34,0.001056
c14,35,0.322070
c14,36,0.001056
c14,37,0.095037
c14,38,0.162619
c14,39,0.002112
c14,4,0.097149
c14,40,0.128828
c14,41,0.168955
c14,42,0.001056
c14,43,0.003168
c14,44,0.218585
c14,45,0.001056
c14,46,0.002112
c14,47,0.074974
c14,5,0.344245
c14,6,0.158395
c14,7,0.005280
c14,8,0.183738
c14,9,0.002112
c15,10,0.087645
c15,11,0.568110
c15,12,0.026399
c15,13,0.244984
c15,14,0.025343
c15,15,0.001056
c15,16,0.048574
c15,17,0.014784
c15,18,0.345301
c15,19,0.005280
c15,2,0.447730
c15,20,0.020063
c15,21,0.158395
c15,22,0.010560
c15,23,0.061246
c15,24,0.002112
c15,25,0.010560
c15,3,0.009504
c15,4,0.327350
c15,5,0.017951
c15,6,0.643083
c15,7,0.007392
c15,8,0.098205
c15,9,0.335797
c16,10,0.229145
c16,11,0.078141
c16,12,0.026399
c16,13,0.043295
c16,14,0.081309
c16,15,0.043295
c16,16,0.277719
c16,17,0.015839
c16,18,0.158395
c16,19,0.002112
c16,2,0.003168
c16,20,0.001056
c16,3,0.299894
c16,4,0.009504
c16,5,0.004224
c16,6,0.001056
c16,7,0.252376
c16,8,0.327350
c16,9,0.298838
c17,10,0.298838
c17,11,0.322070
c17,12,0.398099
c17,13,0.023231
c17,14,0.435058
c17,15,0.001056
c17,16,0.162619
c17,17,0.059134
c17,18,0.070750
c17,19,0.344245
c17,2,0.727561
c17,20,0.232313
c17,21,0.237592
c17,22,0.034847
c17,23,0.373812
c17,24,0.168955
c17,25,0.299894
c17,26,0.368532
c17,27,0.060190
c17,28,0.149947
c17,29,0.183738
c17,3,0.085533
c17,30,0.036959
c17,31,0.026399
c17,32,0.158395
c17,33,0.161563
c17,34,0.072862
c17,35,0.010560
c17,36,0.001056
c17,37,0.116156
c17,38,0.275607
c17,39,0.047518
c17,4,0.198522
c17,40,0.168955
c17,41,0.013728
c17,42,0.034847
c17,43,0.001056
c17,5,0.080253
c17,6,0.004224
c17,7,0.001056
c17,8,0.129884
c17,9,0.001056
c18,10,0.068638
c18,11,0.010560
c18,12,0.147835
c18,13,0.221753
c18,14,0.335797
c18,15,0.001056
c18,16,0.012672
c18,17,0.006336
c18,18,0.010560
c18,19,0.003168
c18,2,0.345301
c18,20,0.033791
c18,21,0.008448
c18,22,0.098205
c18,23,0.021119
c18,24,0.011616
c18,25,0.001056
c18,26,0.016895
c18,27,0.009504
c18,28,0.001056
c18,29,0.344245
c18,3,0.643083
c18,30,0.244984
c18,31,0.005280
c18,32,0.001056
c18,33,0.012672
c18,34,0.007392
c18,35,0.007392
c18,36,0.001056
c18,37,0.010560
c18,38,0.048574
c18,39,0.013728
c18,4,0.279831
c18,40,0.119324
c18,41,0.158395
c18,5,0.162619
c18,6,0.006336
c18,7,0.568110
c18,8,0.004224
c18,9,0.447730
c19,10,0.001056
c19,11,0.252376
c19,12,0.003168
c19,13,0.299894
c19,14,0.011616
c19,15,0.298838
c19,16,0.344245
c19,17,0.001056
c19,18,0.002112
c19,19,0.013728
c19,2,0.277719
c19,20,0.158395
c19,3,0.229145
c19,4,0.003168
c19,5,0.192186
c19,6,0.162619
c19,7,0.383316
c19,8,0.043295
c19,9,0.010560
c20,10,0.168955
c20,11,0.275607
c20,12,0.237592
c20,13,0.010560
c20,14,0.026399
c20,15,0.085533
c20,16,0.012672
c20,17,0.001056
c20,18,0.183738
c20,19,0.368532
c20,2,0.435058
c20,20,0.012672
c20,21,0.006336
c20,22,0.161563
c20,23,0.022175
c20,24,0.001056
c20,25,0.015839
c20,26,0.398099
c20,27,0.373812
c20,28,0.003168
c20,29,0.026399
c20,3,0.010560
c20,30,0.013728
c20,31,0.025343
c20,32,0.001056
c20,33,0.077086
c20,34,0.178458
c20,35,0.025343
c20,36,0.008448
c20,37,0.298838
c20,38,0.022175
c20,39,0.218585
c20,4,0.322070
c20,40,0.022175
c20,41,0.074974
c20,42,0.220697
c20,43,0.001056
c20,44,0.344245
c20,45,0.001056
c20,46,0.010560
c20,47,0.128828
c20,48,0.013728
c20,49,0.198522
c20,5,0.727561
c20,50,0.003168
c20,51,0.001056
c20,52,0.095037
c20,53,0.033791
c20,54,0.055966
c20,55,0.001056
c20,56,0.031679
c20,57,0.020063
c20,58,0.036959
c20,59,0.077086
c20,6,0.232313
c20,60,0.057022
c20,61,0.001056
c20,62,0.011616
c20,63,0.002112
c20,64,0.002112
c20,65,0.036959
c20,66,0.162619
c20,67,0.058078
c20,68,0.002112
c20,69,0.011616
c20,7,0.299894
c20,70,0.003168
c20,71,0.168955
c20,72,0.023231
c20,73,0.042239
c20,74,0.010560
c20,75,0.017951
c20,76,0.059134
c20,77,0.072862
c20,78,0.080253
c20,79,0.002112
c20,8,0.001056
c20,80,0.003168
c20,81,0.158395
c20,9,0.021119
c21,10,0.010560
c21,11,0.344245
c21,12,0.003168
c21,13,0.447730
c21,14,0.345301
c21,15,0.061246
c21,16,0.008448
c21,17,0.158395
c21,18,0.279831
c21,19,0.033791
c21,2,0.568110
c21,20,0.001056
c21,21,0.147835
c21,22,0.001056
c21,23,0.055966
c21,24,0.032735
c21,25,0.001056
c21,26,0.001056
c21,27,0.001056
c21,28,0.087645
c21,29,0.005280
c21,3,0.082365
c21,30,0.335797
c21,31,0.010560
c21,32,0.013728
c21,33,0.025343
c21,34,0.016895
c21,35,0.016895
c21,36,0.003168
c21,4,0.098205
c21,5,0.643083
c21,6,0.006336
c21,7,0.244984
c21,8,0.025343
c21,9,0.221753
c22,10,0.006336
c22,11,0.344245
c22,12,0.001056
c22,13,0.043295
c22,14,0.277719
c22,15,0.192186
c22,16,0.020063
c22,17,0.298838
c22,18,0.158395
c22,19,0.004224
c22,2,0.252376
c22,20,0.001056
c22,21,0.039071
c22,22,0.383316
c22,23,0.001056
c22,24,0.001056
c22,25,0.002112
c22,26,0.176346
c22,27,0.001056
c22,28,0.001056
c22,29,0.072862
c22,3,0.024287
c22,30,0.004224
c22,31,0.043295
c22,32,0.001056
c22,33,0.003168
c22,4,0.021119
c22,5,0.078141
c22,6,0.006336
c22,7,0.072862
c22,8,0.031679
c22,9,0.299894
c23,10,0.373812
c23,11,0.398099
c23,12,0.059134
c23,13,0.344245
c23,14,0.001056
c23,15,0.017951
c23,16,0.001056
c23,17,0.368532
c23,18,0.004224
c23,19,0.218585
c23,2,0.435058
c23,20,0.298838
c23,21,0.013728
c23,22,0.158395
c23,23,0.001056
c23,24,0.030623
c23,25,0.036959
c23,26,0.026399
c23,27,0.001056
c23,28,0.001056
c23,29,0.002112
c23,3,0.232313
c23,30,0.116156
c23,31,0.030623
c23,32,0.058078
c23,33,0.022175
c23,34,0.299894
c23,35,0.001056
c23,36,0.007392
c23,37,0.001056
c23,38,0.060190
c23,39,0.025343
c23,4,0.727561
c23,40,0.161563
c23,41,0.036959
c23,42,0.085533
c23,43,0.002112
c23,44,0.016895
c23,45,0.029567
c23,46,0.198522
c23,47,0.237592
c23,48,0.008448
c23,49,0.001056
c23,5,0.032735
c23,50,0.178458
c23,51,0.168955
c23,52,0.168955
c23,53,0.020063
c23,54,0.001056
