character,state,probability
c0,2,0.447730
c0,3,0.643083
c0,4,0.074974
c0,5,0.568110
c0,6,0.344245
c1,10,0.435058
c1,11,0.198522
c1,12,0.059134
c1,13,0.001056
c1,14,0.080253
c1,15,0.017951
c1,16,0.030623
c1,17,0.168955
c1,18,0.052798
c1,19,0.299894
c1,2,0.727561
c1,20,0.026399
c1,21,0.012672
c1,22,0.178458
c1,23,0.097149
c1,24,0.104541
c1,25,0.055966
c1,26,0.001056
c1,27,0.026399
c1,28,0.026399
c1,29,0.368532
c1,3,0.398099
c1,30,0.298838
c1,31,0.019007
c1,32,0.128828
c1,33,0.001056
c1,34,0.016895
c1,35,0.001056
c1,36,0.373812
c1,37,0.022175
c1,38,0.116156
c1,39,0.016895
c1,4,0.218585
c1,40,0.012672
c1,41,0.010560
c1,42,0.028511
c1,43,0.001056
c1,44,0.162619
c1,45,0.344245
c1,46,0.001056
c1,47,0.026399
c1,48,0.003168
c1,5,0.232313
c1,6,0.275607
c1,7,0.027455
c1,8,0.036959
c1,9,0.322070
c2,2,0.007392
c2,3,0.327350
c2,4,0.643083
c3,2,0.007392
c3,3,0.327350
c3,4,0.043295
c4,10,0.237592
c4,11,0.022175
c4,12,0.322070
c4,2,0.727561
c4,3,0.104541
c4,4,0.129884
c4,5,0.047518
c4,6,0.039071
c4,7,0.001056
c4,8,0.435058
c4,9,0.232313
c5,2,0.345301
c5,3,0.344245
c5,4,0.568110
c6,2,0.383316
c6,3,0.299894
c6,4,0.344245
c6,5,0.031679
c7,2,0.004224
c7,3,0.344245
c7,4,0.006336
c7,5,0.727561
c8,2,0.643083
c8,3,0.010560
c8,4,0.335797
c8,5,0.033791
c8,6,0.047518
c8,7,0.023231
c9,2,0.383316
c9,3,0.002112
c9,4,0.299894
c10,2,0.220697
c10,3,0.080253
c11,2,0.279831
c11,3,0.006336
c11,4,0.643083
c12,2,0.004224
c12,3,0.192186
c12,4,0.010560
c13,2,0.727561
c13,3,0.074974
c13,4,0.077086
