character,state,probability
c0,10,0.568110
c0,11,0.021119
c0,12,0.082365
c0,13,0.001056
c0,14,0.005280
c0,15,0.007392
c0,16,0.119324
c0,17,0.244984
c0,18,0.014784
c0,19,0.087645
c0,2,0.643083
c0,20,0.162619
c0,21,0.001056
c0,22,0.003168
c0,23,0.001056
c0,24,0.023231
c0,25,0.004224
c0,26,0.002112
c0,27,0.221753
c0,3,0.011616
c0,4,0.345301
c0,5,0.335797
c0,6,0.022175
c0,7,0.001056
c0,8,0.327350
c0,9,0.447730
c1,10,0.229145
c1,11,0.001056
c1,12,0.327350
c1,13,0.299894
c1,14,0.277719
c1,15,0.078141
c1,16,0.004224
c1,17,0.014784
c1,18,0.162619
c1,19,0.049630
c1,2,0.383316
c1,20,0.003168
c1,21,0.072862
c1,22,0.001056
c1,23,0.028511
c1,24,0.061246
c1,25,0.081309
c1,26,0.002112
c1,3,0.050686
c1,4,0.176346
c1,5,0.039071
c1,6,0.298838
c1,7,0.006336
c1,8,0.001056
c1,9,0.022175
c2,10,0.034847
c2,11,0.298838
c2,12,0.057022
c2,13,0.025343
c2,14,0.232313
c2,15,0.178458
c2,16,0.023231
c2,17,0.237592
c2,18,0.001056
c2,19,0.218585
c2,2,0.168955
c2,20,0.368532
c2,21,0.010560
c2,22,0.034847
c2,23,0.373812
c2,24,0.183738
c2,25,0.275607
c2,26,0.012672
c2,27,0.002112
c2,28,0.001056
c2,29,0.070750
c2,3,0.021119
c2,30,0.058078
c2,31,0.026399
c2,32,0.038015
c2,33,0.058078
c2,34,0.004224
c2,35,0.435058
c2,36,0.005280
c2,37,0.104541
c2,38,0.024287
c2,39,0.299894
c2,4,0.129884
c2,40,0.055966
c2,41,0.001056
c2,42,0.013728
c2,43,0.322070
c2,44,0.009504
c2,45,0.162619
c2,46,0.001056
c2,47,0.077086
c2,48,0.030623
c2,49,0.020063
c2,5,0.003168
c2,50,0.128828
c2,51,0.001056
c2,52,0.007392
c2,53,0.077086
c2,54,0.001056
c2,55,0.014784
c2,56,0.001056
c2,57,0.026399
c2,58,0.001056
c2,59,0.001056
c2,6,0.727561
c2,60,0.049630
c2,61,0.001056
c2,62,0.003168
c2,63,0.025343
c2,64,0.024287
c2,65,0.220697
c2,66,0.001056
c2,67,0.002112
c2,7,0.398099
c2,8,0.344245
c2,9,0.001056
c3,10,0.279831
c3,11,0.568110
c3,12,0.345301
c3,13,0.034847
c3,14,0.087645
c3,15,0.244984
c3,16,0.008448
c3,17,0.004224
c3,18,0.001056
c3,19,0.335797
c3,2,0.003168
c3,20,0.147835
c3,21,0.010560
c3,22,0.002112
c3,23,0.001056
c3,24,0.020063
c3,25,0.162619
c3,26,0.002112
c3,27,0.344245
c3,28,0.001056
c3,29,0.002112
c3,3,0.327350
c3,4,0.007392
c3,5,0.643083
c3,6,0.447730
c3,7,0.001056
c3,8,0.221753
c3,9,0.026399
c4,10,0.002112
c4,11,0.252376
c4,12,0.383316
c4,13,0.176346
c4,14,0.298838
c4,15,0.043295
c4,16,0.344245
c4,17,0.001056
c4,18,0.001056
c4,19,0.001056
c4,2,0.003168
c4,20,0.072862
c4,21,0.002112
c4,22,0.162619
c4,23,0.002112
c4,24,0.086589
c4,25,0.002112
c4,3,0.327350
c4,4,0.007392
c4,5,0.277719
