character,state,probability
c0,10,0.001056
c0,11,0.244984
c0,12,0.335797
c0,13,0.001056
c0,14,0.004224
c0,15,0.568110
c0,16,0.221753
c0,17,0.344245
c0,18,0.013728
c0,19,0.001056
c0,2,0.447730
c0,20,0.001056
c0,3,0.016895
c0,4,0.001056
c0,5,0.643083
c0,6,0.345301
c0,7,0.279831
c0,8,0.013728
c0,9,0.003168
c1,10,0.198522
c1,100,0.014784
c1,101,0.022175
c1,102,0.055966
c1,103,0.012672
c1,104,0.072862
c1,105,0.010560
c1,106,0.001056
c1,107,0.001056
c1,108,0.026399
c1,109,0.002112
c1,11,0.275607
c1,110,0.017951
c1,111,0.023231
c1,112,0.014784
c1,113,0.001056
c1,12,0.128828
c1,13,0.368532
c1,14,0.001056
c1,15,0.004224
c1,16,0.001056
c1,17,0.218585
c1,18,0.059134
c1,19,0.015839
c1,2,0.398099
c1,20,0.058078
c1,21,0.178458
c1,22,0.373812
c1,23,0.004224
c1,24,0.116156
c1,25,0.029567
c1,26,0.017951
c1,27,0.097149
c1,28,0.237592
c1,29,0.104541
c1,3,0.727561
c1,30,0.022175
c1,31,0.129884
c1,32,0.077086
c1,33,0.162619
c1,34,0.003168
c1,35,0.435058
c1,36,0.095037
c1,37,0.220697
c1,38,0.232313
c1,39,0.322070
c1,4,0.001056
c1,40,0.017951
c1,41,0.168955
c1,42,0.032735
c1,43,0.004224
c1,44,0.299894
c1,45,0.183738
c1,46,0.001056
c1,47,0.004224
c1,48,0.001056
c1,49,0.002112
c1,5,0.344245
c1,50,0.161563
c1,51,0.059134
c1,52,0.001056
c1,53,0.001056
c1,54,0.028511
c1,55,0.085533
c1,56,0.001056
c1,57,0.001056
c1,58,0.014784
c1,59,0.042239
c1,6,0.168955
c1,60,0.002112
c1,61,0.058078
c1,62,0.003168
c1,63,0.003168
c1,64,0.004224
c1,65,0.004224
c1,66,0.030623
c1,67,0.005280
c1,68,0.095037
c1,69,0.002112
c1,7,0.025343
c1,70,0.003168
c1,71,0.060190
c1,72,0.024287
c1,73,0.002112
c1,74,0.119324
c1,75,0.149947
c1,76,0.074974
c1,77,0.080253
c1,78,0.077086
c1,79,0.039071
c1,8,0.028511
c1,80,0.030623
c1,81,0.020063
c1,82,0.001056
c1,83,0.001056
c1,84,0.015839
c1,85,0.006336
c1,86,0.001056
c1,87,0.011616
c1,88,0.036959
c1,89,0.006336
c1,9,0.022175
c1,90,0.030623
c1,91,0.001056
c1,92,0.009504
c1,93,0.008448
c1,94,0.002112
c1,95,0.001056
c1,96,0.004224
c1,97,0.298838
c1,98,0.009504
c1,99,0.053854
c2,10,0.072862
c2,11,0.019007
c2,12,0.143611
c2,13,0.023231
c2,14,0.344245
c2,15,0.299894
c2,16,0.072862
c2,17,0.084477
c2,18,0.043295
c2,19,0.008448
c2,2,0.252376
c2,20,0.011616
c2,21,0.013728
c2,22,0.277719
c2,23,0.006336
c2,24,0.004224
c2,25,0.020063
c2,26,0.005280
c2,27,0.192186
c2,28,0.039071
c2,29,0.001056
c2,3,0.001056
c2,30,0.001056
c2,31,0.012672
c2,32,0.007392
c2,33,0.001056
c2,34,0.053854
c2,35,0.001056
c2,36,0.001056
c2,37,0.009504
c2,38,0.001056
c2,4,0.229145
c2,5,0.383316
c2,6,0.021119
c2,7,0.002112
c2,8,0.001056
c2,9,0.176346
c3,10,0.001056
c3,11,0.039071
c3,12,0.322070
c3,13,0.232313
c3,14,0.020063
c3,15,0.001056
c3,16,0.001056
c3,17,0.220697
c3,18,0.373812
c3,2,0.030623
c3,3,0.059134
c3,4,0.299894
c3,5,0.344245
c3,6,0.435058
c3,7,0.398099
c3,8,0.001056
c3,9,0.727561
c4,10,0.001056
c4,11,0.021119
c4,12,0.004224
c4,13,0.074974
c4,14,0.045407
c4,15,0.279831
c4,16,0.026399
c4,17,0.001056
c4,18,0.028511
c4,19,0.029567
c4,2,0.643083
c4,20,0.082365
c4,21,0.020063
c4,22,0.147835
c4,23,0.002112
c4,24,0.003168
c4,25,0.025343
c4,26,0.068638
c4,27,0.001056
c4,28,0.001056
c4,29,0.006336
c4,3,0.345301
c4,30,0.244984
c4,31,0.013728
c4,32,0.344245
c4,33,0.001056
c4,34,0.048574
c4,35,0.012672
c4,36,0.013728
c4,37,0.016895
c4,38,0.055966
c4,39,0.032735
c4,4,0.335797
c4,40,0.011616
c4,41,0.004224
c4,42,0.002112
c4,43,0.021119
c4,44,0.006336
c4,45,0.001056
c4,46,0.038015
c4,5,0.568110
c4,6,0.119324
c4,7,0.447730
c4,8,0.327350
c4,9,0.221753
c5,10,0.568110
c5,100,0.001056
c5,101,0.010560
c5,102,0.001056
c5,103,0.001056
c5,104,0.001056
c5,105,0.001056
c5,106,0.004224
c5,107,0.001056
c5,108,0.001056
c5,109,0.001056
c5,11,0.045407
c5,110,0.001056
c5,111,0.001056
c5,112,0.001056
c5,113,0.001056
c5,114,0.001056
c5,115,0.001056
c5,116,0.001056
c5,117,0.007392
c5,118,0.007392
c5,119,0.001056
c5,12,0.119324
c5,120,0.327350
c5,121,0.001056
c5,122,0.011616
c5,123,0.001056
c5,124,0.004224
c5,125,0.001056
c5,126,0.001056
c5,127,0.005280
c5,128,0.011616
c5,129,0.001056
c5,13,0.087645
c5,130,0.007392
c5,131,0.007392
c5,132,0.008448
c5,133,0.025343
c5,134,0.021119
c5,135,0.002112
c5,136,0.001056
c5,137,0.024287
c5,14,0.001056
c5,15,0.447730
c5,16,0.082365
c5,17,0.335797
c5,18,0.008448
c5,19,0.001056
c5,2,0.643083
c5,20,0.016895
c5,21,0.001056
c5,22,0.005280
c5,23,0.221753
c5,24,0.004224
c5,25,0.279831
c5,26,0.055966
c5,27,0.001056
c5,28,0.004224
c5,29,0.006336
c5,3,0.001056
c5,30,0.025343
c5,31,0.033791
c5,32,0.001056
c5,33,0.021119
c5,34,0.001056
c5,35,0.007392
